Load previous model.sav? [0/1]
0
..........AI : 13.602 s, Game : 24.165 s
Episode 076 avg. reward = -0.700, Long-term avg. reward = -0.453
..........AI : 18.214 s, Game : 33.744 s
Episode 077 avg. reward = -0.100, Long-term avg. reward = -0.450
..........AI : 13.481 s, Game : 26.618 s
Episode 078 avg. reward = -0.600, Long-term avg. reward = -0.451
..........AI : 16.955 s, Game : 30.671 s
Episode 079 avg. reward = -0.200, Long-term avg. reward = -0.449
..........AI : 14.860 s, Game : 25.516 s
Episode 080 avg. reward = -0.500, Long-term avg. reward = -0.449
..........AI : 15.754 s, Game : 30.640 s
Episode 081 avg. reward = -0.200, Long-term avg. reward = -0.447
..........AI : 15.541 s, Game : 30.433 s
Episode 082 avg. reward = -0.300, Long-term avg. reward = -0.445
..........AI : 14.665 s, Game : 26.992 s
Episode 083 avg. reward = -0.400, Long-term avg. reward = -0.445
..........AI : 13.683 s, Game : 27.575 s
Episode 084 avg. reward = -0.400, Long-term avg. reward = -0.444
..........AI : 15.344 s, Game : 31.303 s
Episode 085 avg. reward = -0.500, Long-term avg. reward = -0.445
..........AI : 24.226 s, Game : 34.904 s
Episode 086 avg. reward = -0.300, Long-term avg. reward = -0.444
..........AI : 23.863 s, Game : 44.779 s
Episode 087 avg. reward = 0.300, Long-term avg. reward = -0.436
..........AI : 26.296 s, Game : 44.175 s
Episode 088 avg. reward = 0.200, Long-term avg. reward = -0.430
..........AI : 18.149 s, Game : 31.552 s
Episode 089 avg. reward = -0.200, Long-term avg. reward = -0.427
..........AI : 19.220 s, Game : 32.968 s
Episode 090 avg. reward = -0.100, Long-term avg. reward = -0.424
..........AI : 13.014 s, Game : 22.227 s
Episode 091 avg. reward = -0.700, Long-term avg. reward = -0.427
..........AI : 17.303 s, Game : 32.325 s
Episode 092 avg. reward = -0.200, Long-term avg. reward = -0.425
..........AI : 17.753 s, Game : 33.953 s
Episode 093 avg. reward = -0.200, Long-term avg. reward = -0.422
..........AI : 16.031 s, Game : 33.694 s
Episode 094 avg. reward = -0.200, Long-term avg. reward = -0.420
..........AI : 16.601 s, Game : 34.278 s
Episode 095 avg. reward = -0.300, Long-term avg. reward = -0.419
..........AI : 12.546 s, Game : 21.960 s
Episode 096 avg. reward = -0.700, Long-term avg. reward = -0.422
..........AI : 17.446 s, Game : 30.693 s
Episode 097 avg. reward = -0.200, Long-term avg. reward = -0.420
..........AI : 18.936 s, Game : 36.841 s
Episode 098 avg. reward = 0.000, Long-term avg. reward = -0.415
..........AI : 13.281 s, Game : 25.566 s
Episode 099 avg. reward = -0.400, Long-term avg. reward = -0.415
..........AI : 16.372 s, Game : 31.917 s
Episode 100 avg. reward = -0.400, Long-term avg. reward = -0.415
..........AI : 23.573 s, Game : 46.494 s
Episode 101 avg. reward = 0.400, Long-term avg. reward = -0.407
..........AI : 17.423 s, Game : 36.176 s
Episode 102 avg. reward = 0.000, Long-term avg. reward = -0.403
..........AI : 13.471 s, Game : 23.666 s
Episode 103 avg. reward = -0.600, Long-term avg. reward = -0.405
..........AI : 14.428 s, Game : 22.462 s
Episode 104 avg. reward = -0.600, Long-term avg. reward = -0.407
..........AI : 11.816 s, Game : 19.698 s
Episode 105 avg. reward = -0.700, Long-term avg. reward = -0.410
..........AI : 12.795 s, Game : 24.812 s
Episode 106 avg. reward = -0.600, Long-term avg. reward = -0.412
..........AI : 12.230 s, Game : 25.316 s
Episode 107 avg. reward = -0.500, Long-term avg. reward = -0.413
..........AI : 7.732 s, Game : 15.557 s
Episode 108 avg. reward = -1.000, Long-term avg. reward = -0.418
..........AI : 16.164 s, Game : 32.863 s
Episode 109 avg. reward = -0.200, Long-term avg. reward = -0.416
..........AI : 12.292 s, Game : 25.663 s
Episode 110 avg. reward = -0.500, Long-term avg. reward = -0.417
..........AI : 3155.634 s, Game : 30.106 s
Episode 111 avg. reward = -0.500, Long-term avg. reward = -0.418
