Episode 006 avg. reward = -0.600, Long-term avg. reward = -0.796
..........AI : 22.308 s, Game : 28.022 s
Episode 007 avg. reward = -0.300, Long-term avg. reward = -0.791
..........AI : 17.371 s, Game : 22.411 s
Episode 008 avg. reward = -0.600, Long-term avg. reward = -0.789
..........AI : 18.449 s, Game : 24.118 s
Episode 009 avg. reward = -0.500, Long-term avg. reward = -0.786
..........AI : 19.743 s, Game : 25.946 s
Episode 010 avg. reward = -0.400, Long-term avg. reward = -0.782
..........AI : 19.360 s, Game : 23.566 s
Episode 011 avg. reward = -0.600, Long-term avg. reward = -0.781
..........AI : 14.220 s, Game : 17.666 s
Episode 012 avg. reward = -0.900, Long-term avg. reward = -0.782
..........AI : 16.176 s, Game : 19.447 s
Episode 013 avg. reward = -0.900, Long-term avg. reward = -0.783
..........AI : 15.774 s, Game : 20.088 s
Episode 014 avg. reward = -0.700, Long-term avg. reward = -0.782
..........AI : 14.736 s, Game : 17.877 s
Episode 015 avg. reward = -0.800, Long-term avg. reward = -0.782
..........AI : 12.183 s, Game : 15.791 s
Episode 016 avg. reward = -0.800, Long-term avg. reward = -0.782
..........AI : 10.447 s, Game : 12.757 s
Episode 017 avg. reward = -1.000, Long-term avg. reward = -0.785
..........AI : 9.152 s, Game : 11.169 s
Episode 018 avg. reward = -1.000, Long-term avg. reward = -0.787
..........AI : 9.791 s, Game : 12.395 s
Episode 019 avg. reward = -1.000, Long-term avg. reward = -0.789
..........AI : 9.173 s, Game : 10.945 s
Episode 020 avg. reward = -1.000, Long-term avg. reward = -0.791
..........AI : 9.523 s, Game : 11.022 s
Episode 021 avg. reward = -1.000, Long-term avg. reward = -0.793
..........AI : 10.609 s, Game : 11.018 s
Episode 022 avg. reward = -1.000, Long-term avg. reward = -0.795
..........AI : 8.590 s, Game : 10.369 s
Episode 023 avg. reward = -1.000, Long-term avg. reward = -0.797
..........AI : 8.547 s, Game : 10.527 s
Episode 024 avg. reward = -1.000, Long-term avg. reward = -0.799
..........AI : 8.256 s, Game : 9.852 s
Episode 025 avg. reward = -1.000, Long-term avg. reward = -0.801
..........AI : 7.926 s, Game : 9.541 s
Episode 026 avg. reward = -1.000, Long-term avg. reward = -0.803
..........AI : 8.522 s, Game : 9.596 s
Episode 027 avg. reward = -1.000, Long-term avg. reward = -0.805
..........AI : 9.626 s, Game : 9.982 s
Episode 028 avg. reward = -1.000, Long-term avg. reward = -0.807
..........AI : 8.824 s, Game : 9.026 s
Episode 029 avg. reward = -1.000, Long-term avg. reward = -0.809
..........AI : 9.184 s, Game : 9.034 s
Episode 030 avg. reward = -1.000, Long-term avg. reward = -0.811
..........AI : 8.970 s, Game : 8.585 s
Episode 031 avg. reward = -1.000, Long-term avg. reward = -0.813
..........AI : 9.155 s, Game : 9.387 s
Episode 032 avg. reward = -1.000, Long-term avg. reward = -0.815
..........AI : 9.007 s, Game : 9.105 s
Episode 033 avg. reward = -1.000, Long-term avg. reward = -0.817
..........AI : 7.645 s, Game : 9.160 s
Episode 034 avg. reward = -1.000, Long-term avg. reward = -0.818
..........AI : 7.667 s, Game : 9.086 s
