Episode 127 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 9.492 s, Game : 1.260 s
Episode 128 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 9.847 s, Game : 1.195 s
Episode 129 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 10.025 s, Game : 1.314 s
Episode 130 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 9.126 s, Game : 1.161 s
Episode 131 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 8.653 s, Game : 1.050 s
Episode 132 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 8.403 s, Game : 1.066 s
Episode 133 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 8.486 s, Game : 1.032 s
Episode 134 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 8.944 s, Game : 1.110 s
Episode 135 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 8.577 s, Game : 1.037 s
Episode 136 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 8.945 s, Game : 1.087 s
Episode 137 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 8.935 s, Game : 1.112 s
Episode 138 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 8.773 s, Game : 1.136 s
Episode 139 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 9.568 s, Game : 1.193 s
Episode 140 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 8.697 s, Game : 1.126 s
Episode 141 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 9.021 s, Game : 1.207 s
Episode 142 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 9.733 s, Game : 1.255 s
Episode 143 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 7.894 s, Game : 0.941 s
Episode 144 avg. reward = -1.000, Long-term avg. reward = -0.997
..........AI : 9.579 s, Game : 1.108 s
Episode 145 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 10.494 s, Game : 1.300 s
Episode 146 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 8.761 s, Game : 1.114 s
Episode 147 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.199 s, Game : 1.169 s
Episode 148 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.725 s, Game : 1.183 s
Episode 149 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.691 s, Game : 1.123 s
Episode 150 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.644 s, Game : 1.179 s
Episode 151 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.437 s, Game : 1.149 s
Episode 152 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.977 s, Game : 1.260 s
Episode 153 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.362 s, Game : 1.204 s
Episode 154 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.255 s, Game : 1.134 s
Episode 155 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.841 s, Game : 1.158 s
Episode 156 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.175 s, Game : 1.192 s
Episode 157 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 10.538 s, Game : 1.278 s
Episode 158 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.519 s, Game : 1.245 s
Episode 159 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 8.593 s, Game : 1.104 s
Episode 160 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 7.764 s, Game : 1.056 s
Episode 161 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.685 s, Game : 1.236 s
Episode 162 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.018 s, Game : 1.154 s
Episode 163 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 8.635 s, Game : 1.119 s
Episode 164 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.113 s, Game : 1.187 s
Episode 165 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 8.920 s, Game : 1.209 s
Episode 166 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 8.718 s, Game : 1.117 s
Episode 167 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 8.884 s, Game : 1.152 s
Episode 168 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.022 s, Game : 1.133 s
Episode 169 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 8.779 s, Game : 1.137 s
Episode 170 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 8.458 s, Game : 1.113 s
Episode 171 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.471 s, Game : 1.214 s
Episode 172 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 8.547 s, Game : 1.022 s
Episode 173 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.357 s, Game : 1.128 s
Episode 174 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.336 s, Game : 1.088 s
Episode 175 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 7.810 s, Game : 1.023 s
Episode 176 avg. reward = -1.000, Long-term avg. reward = -0.998
..........AI : 9.768 s, Game : 1.215 s
Episode 177 avg. reward = -1.000, Long-term avg. reward = -0.998
